id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count
LING419L,Topics in Syntax,,202501,Linguistics,Undergrad,1,Instructor: TBA,10,10,0,0
LING889,Directed Research,,202501,Linguistics,Grad,0,,0,0,0,0
LING260,Meaning through Language: Why are we so good at it?,"What is it about us humans and our languages that allows us to communicate in ways unmatched by other animals or powerful AI models? The question is ancient, but recent decades have seen great progress in the cognitive science of language, while expanding the diversity of languages investigated. We know much more about how languages vary, how they develop in children, how they are encoded in the mind, and relate to other domains of cognition. Major developments in statistical computation and research on animal cognition also illuminate what is (not) possible without the particular structure of the human mind. We bring this all to bear on our Big Question: What makes human language special from the viewpoint of meaning? Students will come to understand the major features of language as a vehicle for complex thought and a tool for communication. They will use this understanding in analyzing common semantic patterns and everyday conversational dynamics.",202501,Linguistics,Undergrad,1,Aron Hirsch,30,30,0,0
LING240,Language and Mind,"Prerequisite: Minimum grade of C- in LING200.
Additional information: Required for Linguistics majors and recommended for students in related fields.",202501,Linguistics,Undergrad,1,Margaret Antonisse,40,40,0,2
LING499R,Directed Studies in Linguistics; Understanding Language Understanding,"Restriction: Permission of department. In this class we'll ask, what does it mean to understand language? We'll look at the pieces of the puzzle from two perspectives: the sciences of the artificial (to steal a term from Herbert Simon), and the sciences o f the natural world, i.e. the study within cognitive science of the human capacity for language. Contact the instructor for information about registering for this course.",202501,Linguistics,Undergrad,1,Philip Resnik,20,20,0,0
LING410,Grammar and Meaning,Prerequisite: Permission of instructor; or LING311.,202501,Linguistics,Undergrad,1,Valentine Hacquard,20,20,0,0
LING200,Introductory Linguistics,"Credit only granted for: HESP120 or LING200.
Additional information: This course serves as the prerequisite for further courses in linguistics.",202501,Linguistics,Undergrad,3,Tonia Bleam,81,81,0,3
LING312,Syntax II,Prerequisite: LING311.,202501,Linguistics,Undergrad,1,Omar Agha,20,20,0,0
LING611,Issues in Syntax,Prerequisite: LING610.,202501,Linguistics,Grad,1,Aron Hirsch,10,10,0,0
LING689,Independent Study,,202501,Linguistics,Grad,0,,0,0,0,0
LING888,Doctoral Research Paper,,202501,Linguistics,Grad,13,Juan Uriagereka; Philip Resnik; Colin Phillips; Kate Mooney; Naomi Feldman; Aron Hirsch; Maria Polinsky; Ellen Lau; Omar Agha; Valentine Hacquard; William Idsardi; Alexander Williams; Jeffrey Lidz,65,65,0,0
LING879O,Seminar in Semantics,,202501,Linguistics,Grad,1,Omar Agha,10,10,0,0
LING499,Directed Studies in Linguistics,,202501,Linguistics,Undergrad,0,,0,0,0,0
LING899,Doctoral Dissertation Research,,202501,Linguistics,Grad,0,,0,0,0,0
LING661,Issues in Semantics,Prerequisite: LING660; or permission of ARHU-Linguistics department.,202501,Linguistics,Grad,1,Valentine Hacquard,10,10,0,0
LING322,Phonology II,Prerequisite: LING321.,202501,Linguistics,Undergrad,1,Kate Mooney,20,20,0,0
LING898,Pre-Candidacy Research,,202501,Linguistics,Grad,0,,0,0,0,0
LING419K,Topics in Syntax; Studies in Lexical Aspect and Event Structure,,202501,Linguistics,Undergrad,1,FEDOR GOLOSOV,10,10,0,0
LING689C,Independent Study; Computational Psycholinguistics,,202501,Linguistics,Grad,1,Naomi Feldman,12,12,0,0
LING499C,Directed Studies in Linguistics; Teaching Assistantship,,202501,Linguistics,Undergrad,2,Tonia Bleam; Margaret Antonisse,8,8,0,0
LING321,Phonology I,Prerequisite: LING240.,202501,Linguistics,Undergrad,1,Margaret Antonisse,26,26,0,2
LING272,Biophysics of Language,"Examines the nature of mental representation of language in the physiology of the mind/brain, how it evolved, how it emerges in learners' minds, and how it decays through injury and illness. Insights from linguistics, cognitive psychology, neuroscience, animal behavior, molecular biology, and biophysics are brought to bear on how an abstract systematic behavior can arise within an animal brain.",202501,Linguistics,Undergrad,1,Juan Uriagereka,30,30,0,0
LING449K,Topics in Psycholinguistics; Investigating A-bar Movement,,202501,Linguistics,Undergrad,1,Katherine Howitt,10,10,0,0
LING248,Introduction to Laboratory Research in Linguistics,Prerequisite: Permission of ARHU-Linguistics department.,202501,Linguistics,Undergrad,1,Jeffrey Lidz,4,4,0,0
LING896,Research Paper in Minor Area,Prerequisite: LING888.,202501,Linguistics,Grad,0,,0,0,0,0
LING689T,Independent Study; Pedagogy for Linguistics,Designed for novice instructors to collaboratively explore and evaluate methodologies that support teaching improvement and learner achievement.,202501,Linguistics,Grad,1,Margaret Antonisse,6,6,0,0
LING678,Linguistic Field Methods,,202501,Linguistics,Grad,1,Kate Mooney,10,10,0,0
LING798,Research Papers in Linguistics,,202501,Linguistics,Grad,0,,0,0,0,0
LING448,Advanced Laboratory Research in Linguistics,Prerequisite: Permission of ARHU-Linguistics department.,202501,Linguistics,Undergrad,1,Jeffrey Lidz,4,4,0,0
LING444,Child Language Acquisition,Prerequisite: LING311.,202501,Linguistics,Undergrad,1,Katherine Howitt,9,9,0,0
LING311,Syntax I,Prerequisite: LING240.,202501,Linguistics,Undergrad,1,Tonia Bleam,24,24,0,0
LING879J,Seminar in Semantics,,202501,Linguistics,Grad,1,Jeffrey Lidz,10,10,0,0
LING499H,Directed Studies in Linguistics,,202501,Linguistics,Undergrad,0,,0,0,0,0
LING449L,Topics in Psycholinguistics,,202501,Linguistics,Undergrad,1,Instructor: TBA,10,10,0,0
LING849C,Seminar in Psycholinguistics; Seminar in Computational Psycholinguistics,,202501,Linguistics,Grad,1,Instructor: TBA,6,6,0,0
LING799,Master's Thesis Research,,202501,Linguistics,Grad,0,,0,0,0,0
AMST213,Heroes and Villains in American Film,"Cross-listed with: CINE282.
Credit only granted for: AMST213, HONR219F, CINE282 or FILM298V.
Formerly: HONR219F, FILM298V.",202501,American Studies,Undergrad,1,Susan Pramschufer,35,35,0,0
AMST205,Material Aspects of American Life,"Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",202501,American Studies,Undergrad,1,Instructor: TBA,25,25,0,1
AMST655,Introduction to Museum Scholarship,"Cross-listed with: ANTH655, HIST610, INST653.
Credit only granted for: AMST655, ANTH655, HIST610, INST728T or INST653.",202501,American Studies,Grad,1,Lesley Langa,15,15,0,0
AMST603,Current Approaches to American Studies,Restriction: Must be in one of the following programs (American Studies (Master's); American Studies (Doctoral)) . Or permission of ARHU-American Studies department; and permission of instructor.,202501,American Studies,Grad,1,Christina Hanhardt,15,15,0,1
AMST418N,Asian American Public Policy,"Cross-listed with: AAST421.
Credit only granted for: AAST421, AAST498M or AMST418N.
Formerly: AAST498M.",202501,American Studies,Undergrad,1,Philip Nash,20,20,0,0
AMST101,Introduction American Studies,"Credit only granted for: AMST101 or AMST201.
Formerly: AMST201.",202501,American Studies,Undergrad,4,Eva Hageman,60,60,0,7
AMST398,Independent Studies,,202501,American Studies,Undergrad,0,,0,0,0,0
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",202501,American Studies,Undergrad,1,Instructor: TBA,25,25,0,5
AMST798,Non-Thesis Research,,202501,American Studies,Grad,0,,0,0,0,0
AMST659C,Special Topics: Collaborative Curation; Community-Centered Exhibition Creation in a Local Museum,,202501,American Studies,Grad,1,Henry Gregory,12,12,0,0
AMST425,Film and American Landscape,"Credit only granted for: AMST418K or AMST425.
Formerly: AMST418K.",202501,American Studies,Undergrad,1,Susan Pramschufer,25,25,0,0
AMST799,Master's Thesis Research,,202501,American Studies,Grad,0,,0,0,0,0
AMST388,Honors Thesis,,202501,American Studies,Undergrad,0,,0,0,0,0
AMST878A,American Studies Pedagogy Mentoring; Mentoring for First Year Teaching in American Studies,,202501,American Studies,Grad,1,Bayley Marquez,5,5,0,0
AMST628J,Seminar in American Studies; The Poetics of the Black Feminist Imagination,Cross-listed with WGSS698B. Credit only granted for WGSS698B or AMST628J.,202501,American Studies,Grad,1,Zenzele Isoke,9,9,0,0
AMST202,Cultures of Everyday Life in America,"Examine the structures and patterns of everyday life in the U.S., utilizing methods such as ethnography, oral history, survey research, and textual, visual, and material cultural analysis.",202501,American Studies,Undergrad,1,Instructor: TBA,25,25,0,1
AMST418H,Cultural Themes in America; Cultural Themes in America-Honors,Prerequisite: At least three credit hours of prior coursework in AMST.,202501,American Studies,Undergrad,0,,0,0,0,0
AMST878B,American Studies Pedagogy Mentoring; Mentoring for Second Year Teaching in American Studies,,202501,American Studies,Grad,1,Bayley Marquez,5,5,0,0
